,tweet,offensive,vlg,vio,HS_HS1,HS_HS2,HS_HS3,HS_HS5,HS_HS6,HS_NOT_HS
13,RT مستخدم تذكروا جيدا قائمة الجزم  حذاء رجل  أكرم اله القارئين وتذكروا جيدا أنهم دائما وأبدا جاهزون لتلبية وعد إبليس ابليس يقول محا…,1,0,0,0,0,0,0,0,1
14,RT مستخدم في ذبانه لو اصيدها واله راح اربطها واركض يمها واصرخ وجه يشتاط غضبا ,0,0,0,0,0,0,0,0,1
15,مستخدم وين الحش اذا فهمته هو واشكاله ان زمن جلسه البيت انتهى ولى صار حش وبعدين وش نظام سواليف البزران هذي اكبر ياخي  وجه بقناع طبي ,0,0,0,0,0,0,0,0,1
16,مستخدم انا كم مره اقولكم مو عيب الي تسونه الكذب على الناس حرام  وجه بتشميقه  قبضه موجهه للامام 🏻,0,0,0,0,0,0,0,0,1
17,مستخدم LOL شمشوم تحت المجهر بن عمي شوف انا لو خاصمك تصعب عليلو بدك محامي انت بس تطلب  قرد بحركه اليد لقول لا اسمع  ,0,0,0,0,0,0,0,0,1
18,و رومان رينز  وجه بدموع الفرح  قلب احمر ️ قبضه موجهه للامام 🏻 EleminationChamber,0,0,0,0,0,0,0,0,1
19,مستخدم ان شاء اله يرفع عليك وعليهم قضيه وتنجلدين من اهلك  وجه قمر جديد  سكين المطبخ ,0,0,0,0,0,0,0,0,1
20,مستخدم يلا مشينا  قلب بنفسجي  اسيا واستراليا علي الكره الارضيه  وجه الضفدع ,0,0,0,0,0,0,0,0,1
21,ترند بتويتر لعنبو ابليسكم خلو المسلم بحالة شهرتو به  وجه غاضب  بايع الكليجا,1,0,0,0,0,0,0,0,1
22,➺ زهره الكرز ┊↷⠀┊لن تحصل على غد افضل مادمت تفكر بالامس زهره ذابله   شخص يمشي  حركه اليد لقول حسنا  ​• ⠀ ابهام متجه لاعلي   ابهام متجه لاسفل   قلب يتضخم ⠀▸,0,0,0,0,0,0,0,0,1
23,مستخدم بهذدي صدقت قسم محد يفرح لك الا الي يحبكاو من رحم ربي  ابهام متجه لاعلي  قرد بحركه اليد لقول لا اتكلم  قرد بحركه اليد لقول لا اري  قرد بحركه اليد لقول لا اسمع  ,0,0,0,0,0,0,0,0,1
24,مستخدم دكتور فارس بتفرقكن راح تخلو التيار وحدو يجيب الحاصل  وجه يشتاط غضبا ,0,0,0,0,0,0,0,0,1
25,تعوسي عطاني فولو دخلت صفحته و اشوفه كاتب انو ساقطات الي خقو على بايع الكليجا وطايح قذف فيهم و حسابه الحقير كله اباحيات  وجه مشمئز  استشرافه صنفه قوي عطيته بلوك,1,0,0,1,0,0,0,0,0
26,مستخدم الف كيلو هذه اجيبها في سنين بتضحكو على مين قال الضمان سنين قال  ابهام متجه لاسفل 🏻,0,0,0,0,0,0,0,0,1
27,اختفى مروان تلودي طلعوا جولي شيك و القرشي  وجه بقناع طبي ,0,0,0,0,0,0,0,0,1
28,اليوم الجوى اكثر من رائع  ورده  قلب احمر ️ زهره الخبازي  قبضه موجهه للامام 🏼 مشروب ساخن ️,0,0,0,0,0,0,0,0,1
29,RT مستخدم افضح معنفك  علامه ممنوع تحت سن الثامن   لا يوجد اشد من هالفضيحه بشار  سكين المطبخ الهم ارحم شهداء الوطن الأبرار الكعبه  دعواتكم لعل اله القوي الجبار الم…,1,0,0,0,0,0,0,0,1
30,RT مستخدم تخيل نحتفل بالتعادلمع فريقجزمة ابو نوران أكبر من تاريخهم  وجه بدموع الفرح  وجه الضفدع  وجه بدموع الفرح  وجه الضفدع  وجه بدموع الفرح ,1,0,0,0,0,1,0,0,0
31,حاط صورة حسن نصر الهويقول اهل الكويت الاصلين الطم  وجه بدموع الفرح  قبضه موجهه للامام 🏽ٰ,0,0,0,0,0,0,0,0,1
32,RT مستخدم رسالة السيسي بالزي العسكريالرئيس السيسىلرئيس الأركانيامحمد عايزك تشيلالإرهابين من علىوش الأرض قبضه موجهه للامام   ظهر يد تشير الى اليسار  بكل عنف وقوة عضلات اح…,0,0,0,0,0,0,0,0,1
33,مبروك مستخدم عاد كان خليتوها مستخدم ترا حتى وضاح خسران اندية لندن  ابهام متجه لاسفل 🏻,0,0,0,0,0,0,0,0,1
34,مستخدم انا ما اسافر بعيد التحرير  وجه منصدم ,0,0,0,0,0,0,0,0,1
35,اكره شي في الحياة تطلع من بيتكم متسبح ومتعطر ومتزقرت وتدخل بوفية وفوق هذا العامل قاعد يقلي فلافل خلاص الحين وش يخلص اليوم ابي بس ارمي الثوب احسني صرة فلافلة  وجه بقناع طبي  قلب مجروح  وجه مبتسم متعرق ,0,0,0,0,0,0,0,0,1
36,مستخدم نه وجه يشتاط غضبا ,0,0,0,0,0,0,0,0,1
37,مستخدم كسرتيني ي غيدا  وجه يبكي بصوت عالي  تحبين من وراي ليه تخونيني وجه متأمل  سكين المطبخ  قلب مجروح  شخص يخبط وجهه 🏽‍ رمز المؤنث ️ وجه يبكي بصوت عالي ,0,0,0,0,0,0,0,0,1
38,مستخدم جاتني كتمه مواد ليه  وجه بقناع طبي  قلب مجروح ,0,0,0,0,0,0,0,0,1
39,مستخدم الشمال  وجه منصدم ,0,0,0,0,0,0,0,0,1
40,مستخدم قلتي له يا الضرح واي اعتداء على عضيدي اعتداء علي و الرد بيكون شديد  سكين المطبخ ,1,0,1,0,0,0,0,0,1
41,مستخدم لحول انت جالس لي فكل شي اكتبه وجه مرتبك  قبضه موجهه للامام ,0,0,0,0,0,0,0,0,1
42,مستخدم ليش هالحقد ما عندنا احد في النص  قبضه موجهه للامام 🏻,0,0,0,0,0,0,0,0,1
43,مستخدم شكله مافهم معنها وجه بدموع الفرح  سكين المطبخ ,0,0,0,0,0,0,0,0,1
44,RT مستخدم بايع الكليجاراح تغير طريقة اكل الكليجا البنت تبوسها ثم تأكلها  وجه يغمز الولد يدبجها ثم ياكلها  وجه غاضب ,0,0,0,0,0,0,0,0,1
45,مستخدم ليه بس انت حبيبك كتير  وجه بدموع الفرح  قبضه موجهه للامام ,0,0,0,0,0,0,0,0,1
46,RT مستخدم سبحان اله ناس تجري و راها الشهره  وجه مبتسم باستهزاء و ناس تجري و را الشهره  وجه الضفدع العالمية تعني اكسو  وجه مرتاح  EXOL BestFan…,0,0,0,0,0,0,0,0,1
47,مستخدم ماش  ابهام متجه لاسفل 🏻,0,0,0,0,0,0,0,0,1
48,جد يعني باجر دوام سكين المطبخ ,0,0,0,0,0,0,0,0,1
49,مستخدم لاسف انهم يكذبون كما يتنفسون لأنهم  خنزير  نعجه  حمل ,1,0,0,0,0,0,0,0,1
50,RT مستخدم افا يا الطرش يا التركستاني وجه الضفدع طلع لك لسان وتجرا تكلم عن المنتخب السعودي,1,0,0,1,0,0,0,0,0
51,RT مستخدم أقوى شي يسد النفس  وجه بقناع طبي تجلس مع واحد ياكل تمر ويمصمص أصابعه ويرجع يقلب التمر و ينقي وجه مندهش  و يقولك شفيك ما تهبش هبشك كيبل كه…,1,0,0,0,0,0,0,0,1
52,مستخدم مايدرسون جغرافيا  ابهام متجه لاسفل 🏻,0,0,0,0,0,0,0,0,1
53,ايمتى يخلص هالشهر واله لو إنو يوم  وجه بقناع طبي ,0,0,0,0,0,0,0,0,1
54,ميوت  وجه الضفدع ,0,0,0,0,0,0,0,0,1
55,مستخدم اقسم باله اني اشوف انك تاكل تبن أحسن لك ياطبل ياطار لبنات والفساد انطم ياذكر بعيد كل البعد عن الرجوله ياحيف بس اذا عاجبك الي صار ليه ماوديت اهلك وخليتهم يعطون رايهم ويصورون ولد الناس الي ابتلش من الي تصفق لهم الخلا مير الخلا ياتسلب ابهام متجه لاسفل 🏻,1,0,0,0,0,0,0,1,0
56,بايع الكليجا قلة أدب وادوختونا صدق وجه مشمئز ,1,0,0,0,0,0,0,0,1
57,بيجيبون لي امراض الدنيا وانا توني بعمر الزهور كومة من البراز  قلب مجروح ,0,0,0,0,0,0,0,0,1
58,بايع الكليجا اله يفضحكم فضحتونا بين العربان  وجه بقناع طبي ,1,0,0,0,0,0,0,0,1
59,بايع الكليجا ي بنات وش ذا حسبي اله عليكم أتقوا اله وأرتقوا أيش كمية الانحطاط بالتاق  ابهام متجه لاسفل 🏻 ما يلفظ من قول إلا لديه رقيب عتيد,1,0,0,0,0,0,0,1,0
60,مستخدم بسم اله علي  سكين المطبخ ,0,0,0,0,0,0,0,0,1
61,مستخدم طيب لا تدف  وجه مكبوت ينفث البخار من انفه  يتدحرج على الارض من الضحك ,0,0,0,0,0,0,0,0,1
62,مستخدم حقش حق وحق الناس مرق وجه مكبوت ينفث البخار من انفه ,0,0,0,0,0,0,0,0,1
63,مستخدم رخم  وجه بدموع الفرح  قبضه موجهه للامام ,1,0,0,0,0,0,0,0,1
64,الي يبيع الكليجا لابس كمام  وجه بقناع طبي من ريحة اديوسهن وريحة اباطهن المعفنه اله لايلومك بايع الكليجا,1,0,0,0,0,0,1,0,0
65,مستخدم محون  وجه الكلب  كلب ,1,0,0,0,0,0,0,0,1
66,بعض الأشخاص بسب إنجازاتهم يستحقون كتاب شكر  قائمه  يحتوي صورة شخصية بفلتر م ط ي وجه الحصان ,0,0,0,0,0,0,0,0,1
67,مستخدم بس يا بنت  وجه غاضب ,0,0,0,0,0,0,0,0,1
68,رسالة الرئيس عبد الفتاح السيسي لرئيس الأركان من مقر القيادة بشرق القناة يامحمد عاوزك تشيل الإرهابين من علي وش الأرض  قبضه موجهه للامام ,0,0,0,0,0,0,0,0,1
69,مستخدم بس اخاف نصاب بالسمنه وجه منصدم ,0,0,0,0,0,0,0,0,1
70,RT مستخدم وياريت كلنا نواسى أصحاب الجيوب الأنفية وحساسية الأنف والصدر لأنهم يتعذبون الآن  وجه مكروب  وجه بقناع طبي  وجه يبكي ,0,0,0,0,0,0,0,0,1
71,RT مستخدم إذا كان ع التفاح ي آبل مفيش اكترمنه وجه بدموع الفرح  قبضه موجهه للامام ,0,0,0,0,0,0,0,0,1
72,حد لاقي يابني  وجه بدموع الفرح  قبضه موجهه للامام ,0,0,0,0,0,0,0,0,1
73,مستخدم الهاجوس يابو فارس ماريحنا متاملين فيه خير  وجه بقناع طبي ,0,0,0,0,0,0,0,0,1
74,RT مستخدم بغسلهم عقب ماغسل شراعكم انتما معا بارك اله فيكما وجه يشتاط غضبا  وجه مبتسم باستهزاء ,0,0,0,0,0,0,0,0,1
75,شكلي بس انا الوحيدة الي اكره الشيلات  وجه بقناع طبي ,0,0,0,0,0,0,0,0,1
76,بايع الكليجا مدري وشفيهم النسوان انهبلو هبل اقسم باله تقليد مرض شهره ما تدري وش تسوي ومرض اخر التخريب انا خربانه خرب الشله  وجه مقلوب  وجه بقناع طبي ,1,0,0,0,0,0,0,1,0
77,مستخدم من جد  وجه مشمئز ,0,0,0,0,0,0,0,0,1
78,مستخدم بنظفونها وبيرجع الغبار  وجه بقناع طبي  وجه قمر جديد ,0,0,0,0,0,0,0,0,1
79,مستخدم ليه الافتري دا  يد مرفوعه   وجه مكتئب متعرق   قبضه موجهه للامام   وجه بدموع الفرح   قلب مجروح ,0,0,0,0,0,0,0,0,1
80,الحقيقه واله شي مخجل الي شفتهكمية جرأه مقزه في البنات بشكل لايوصفوين الحياء والحشمه الظاهر ماعاد به حياء ولا حشمه في الجيل هذا إلا ما رحم ربي  وجه بقناع طبي  بايع الكليجا,1,0,0,0,0,0,0,1,0
81,مستخدم لا واله ياخوي محد يرضى  ابهام متجه لاسفل 🏻 ابهام متجه لاسفل 🏻 ابهام متجه لاسفل 🏻,0,0,0,0,0,0,0,0,1
82,الكوره لعيال كولوزق  وجه مبتسم بعيون مبتسمه  كومة من البراز ,1,0,0,0,0,0,0,0,1
83,مستخدم يارجال انت لو خايف على مصلحة الاتحاد مافتحت الموضوع الى مابعد بطوله الملك لاسف كنت احترمك كاعلامي اتحادي  ابهام متجه لاسفل 🏿,0,0,0,0,0,0,0,0,1
84,مستخدم انتي هتقوليلي  وجه بدموع الفرح  قبضه موجهه للامام  قبضه موجهه للاعلي ,0,0,0,0,0,0,0,0,1
85,RT مستخدم مابي احلف بس واثق تماما ان وجودي مسب لأغلبكم سعاده كلامي صح ولا اكيد  وجه قمر جديد  سكين المطبخ ,0,0,0,0,0,0,0,0,1
86,مستخدم لا واله انها قليلة ذوق تنظر لرجل غير زوجها وعيب اساس تنظر لشخص غير زوجها اساس شكلها وهي متخرفنه ع بايع ذا اكبر قذرة واكبر قله ادب نعم اهجدو مذابكم ورب الكعبه ي اخواني عندي انهم اجمل من وجه مليون مرا عادي جدا ماشوف جمال الى تشوفونه زعجتونا ترا ه بس قبضه موجهه للامام 🏻 قبضه موجهه للامام 🏻,1,0,0,0,0,0,0,0,1
87,بائع الكليجا تعليقي هو ياتبارك الرحمن لا إله إلا اله  وجه مشمئز ,0,0,0,0,0,0,0,0,1
88,اصدقا الوناسه وينهم في البحرين  ابهام متجه لاسفل  وجه قط عابس ,0,0,0,0,0,0,0,0,1
89,ايام وانا احلم احلام  كومة من البراز ,0,0,0,0,0,0,0,0,1
90,مستخدم والي جالسين في فنادق الرياض ثلاث سنوات ويستنزفون التحالف وش تسميهم عليكم من اله ماتستحقون  ابهام متجه لاسفل ,1,0,0,0,0,0,0,0,1
91,بعض مصطلحات ال همريكن slangsAn ارم اند ا لك غالي جداAnts ون يور بانتس متوتر جدا لدرجة انه لايستطيع الجلوس وكأن فيه نمله في بنطلونه وجه بدموع الفرح Armpit الابط وهذي تستخدم لتعبير عن النتانه والقذارة  وجه بقناع طبي At ذا ند وف رب متورط لغاية على قولة المصرين حبل المشنقة لاف حول رقبته,1,0,0,0,0,0,0,0,1
92,مستخدم عيش يابطال  قبضه موجهه للامام  ابهام متجه لاعلي  عضلات  اصبع السبابه مشيرا لاعلي كلها وهكون من الأبطال اقول اية علينا دولت اقول اية,0,0,0,0,0,0,0,0,1
93,المشاوير  وجه مشمئز  وجه مضمد الراس ,0,0,0,0,0,0,0,0,1
94,مستخدم لو فهمت غلط م قلت صديقي  وجه بدموع الفرح  سكين المطبخ ,0,0,0,0,0,0,0,0,1
95,صلاه الجنازه القادمه انتالمستدعشين فاهمين النصيحة غلط  قبضه موجهه للامام 🏻,0,0,0,0,0,0,0,0,1
96,مستخدم انتم تسمعوني ولا تستهبلون مادريت عن حق الكلجا ذا الي طفشتونا فيه ولا اهتميت لهكلامي عن وصفك بان لا نبوة لنساء لانهن غير وفيات تقدر تنتقد تصرف البنات دون التقول في الدين يا مقطعين الوفاءفهمتوا تعتبت وانا اشرح سكين المطبخ ,1,0,0,0,0,0,0,1,0
97,قلتله مسامحه  وجه منصدم  وجه قلق انيكلمة وقالها لسانيبس بقلبي شي ثانيمنه تعبانة وخسرني يتدحرج على الارض من الضحك ,0,0,0,0,0,0,0,0,1
98,RT مستخدم نبي قصه عشقصه عشق احلى موقع مسلسلات وجه قطه بدموع الفرح  قبضه موجهه للامام 🏻,0,0,0,0,0,0,0,0,1
99,يا شين الخليجي اذا سوى فيها مهند  وجه بقناع طبي 🤮 وجه مشمئز  وجه يعطس 🤯,1,0,0,0,0,0,0,0,1
100,مستخدم وش قلة الادب هذي  وجه مندهش  وجه بقناع طبي ,1,0,0,0,0,0,0,0,1
101, وجه يشتاط غضبا تعبت من الوزن الزائد تريد تنحف  عضلات  وجه مبتسم بعيون قلب  راسلني خاص ظرف وارد  قلب ازرق  وابعت وزنك وطولك ولك الحل نار  قلب اصفر  صلاه الجنازه القادمه انت اصدقا الوناسه وينهم السعودية عز وفخر اصدقا الوناسه وينهم بايع الكليجا,0,0,0,0,0,0,0,0,1
102,مستخدم وش فيك يا مطحون  وجه بدموع الفرح  حذاء رجل ,0,0,0,0,0,0,0,0,1
103,مستخدم لسه بتآوح وجه يشتاط غضبا ,0,0,0,0,0,0,0,0,1
104,بايع الكليجا الحمدله والشكر افتكينا من خرفان ايفانكا جونا خرفان بايع الكليجا وجه بقناع طبي ,1,0,0,0,0,0,0,0,1
105,مستخدم وت ذا قاع يقذف  وجه البدر  سكين المطبخ ,0,0,0,0,0,0,0,0,1
106,مستخدم مظنش  قلب مجروح   وجه بدموع الفرح  متزوج بقاله شهر ونفسه يتزوج الرابعة  قلب مجروح  وجه بدموع الفرح  قبضه موجهه للامام ,0,0,0,0,0,0,0,0,1
107,RT مستخدم كنا مغشوشين فيهم باخلاقهم ومذهبهم الدموي وجه منصدم ,1,0,0,0,0,1,0,0,0
108,مستخدم بعيد عن سوء كلامهليته بس على ترفعه عن المرأه يحسن من سلوكياته وتصرفاتهمشيته كنه بنتوتصرفاته ورقصه وجه بقناع طبي ,1,0,0,0,0,0,0,0,1
109,مستخدم فضحتينا قبضه موجهه للامام 🏼,1,0,0,0,0,0,0,0,1
110,مستخدم اتعس شي بعد المباراة وانت خسران و مغبون تشوفه ينزل الملعب و يسلم على الاعبين و يتبوسم و الوضع طبيعي عنده  وجه يشتاط غضبا ,0,0,0,0,0,0,0,0,1
111,مستخدم يع خلاص تومتش  وجه محايد  وجه مشمئز ,0,0,0,0,0,0,0,0,1
112,مستخدم واله يعينش على نفسش  قلب احمر ️ نعجه ,0,0,0,0,0,0,0,0,1
113,مستخدم فعلا اع 🤮,0,0,0,0,0,0,0,0,1
114,مستخدم ه خلاص على كذا ماراح انام بدري وجه بدموع الفرح  قبضه موجهه للامام ,0,0,0,0,0,0,0,0,1
115,مستخدم اها يعني يالحريم خقو علي تراي معكم ياكثرهم  وجه بدموع الفرح  كومة من البراز ,0,0,0,0,0,0,0,0,1
116,مستخدم ان كان لك حق انا م كان لك حق بتجي فيك ي قذر  قبضه موجهه للامام 🏽,1,0,0,0,0,0,0,0,1
117,RT مستخدم اسوء الرجال من يتحدث ابهام متجه لاسفل 🏻عن محبوبتنه لاخرين  وجه متأمل ليجعل منها فريسه سهله قلب مجروح ,1,0,0,0,0,0,0,0,1
118,مستخدم بس بقى  قبضه موجهه للامام ,0,0,0,0,0,0,0,0,1
119,الواضح انه صباح  ابهام متجه لاسفل 🏻,0,0,0,0,0,0,0,0,1
120,RT مستخدم الهندي قاعد يثبت لمعزب إن الخروف  نعجه صار صديقه حتى ما يذبحه  وجه بدموع الفرح ,1,0,0,1,0,0,0,0,0
121,مستخدم كبيه اله لايسامحه كلب يعاملنا على انحن دجاج  سكين المطبخ ,1,0,0,0,0,0,0,0,1
122,مستخدم  وجه منصدم اله ينقص ويزيد,0,0,0,0,0,0,0,0,1
123,مستخدم احسن  قبضه موجهه للامام  وجه مشع بعيون مبتسمه ,0,0,0,0,0,0,0,0,1
124,مستخدم صوت الي تصور وجه مشمئز ,0,0,0,0,0,0,0,0,1
125,مستخدم طيب ليش حاطه التسليم قبل الدفع  وجه مفكر  المفروض ادفع بعدين استلم بس طريقتها مضحكة و غبية  وجه بدموع الفرح  وجه بقناع طبي ,1,0,0,0,0,0,0,0,1
126,انا مش عارفه اي عدم الحياء الي الناس بقت في ده  وجه يشتاط غضبا ,1,0,0,0,0,0,0,0,1
127,عنز  ماعز ,1,0,0,0,0,0,0,0,1
128,مستخدم ه خطي وارسمي عليه لاتخلينه يضيع  سكين المطبخ  وجه مكبوت ينفث البخار من انفه ,0,0,0,0,0,0,0,0,1
129,مستخدم اي  وجه بابتسامه خفيفه  سكين المطبخ ,0,0,0,0,0,0,0,0,1
130,ياله صباح خير الواحد يرسل شي جميل تخيل بس تبدا يومك بالاهلي اي شوم باله عليك  وجه الضفدع  الاهلي,0,0,0,0,0,0,0,0,1
131,غالبيتكم عملاء لذا الاحتلال جاثم فوق رؤوسكم وجه يشتاط غضبا  ابهام متجه لاسفل ,1,0,0,0,0,1,0,0,0
132,مستخدم لا عاد هو يسوي نفسه انا المز وجه بقناع طبي  وجه بدموع الفرح ,0,0,0,0,0,0,0,0,1
133,مستخدم نتعوذ من الشيطان  وجه مشمئز  وجه بابتسامه خفيفه  سكين المطبخ ,0,0,0,0,0,0,0,0,1
134,RT مستخدم اصدقا الوناسه وينهم اداع مليون في حسابك وجه مرتاح اقروا الرقم زين وقولوا امين بلاش حسد وجه مرتبك  مطرقه  خنجر  وجه بدموع الفرح  قبضه موجهه للامام 🏻,0,0,0,0,0,0,0,0,1
135,الي يشوف كلام هيلاري راح يحط  حذاء رجل  بفم كل واحد ينكر وجود مؤامرات ضد دولتنا والدول المجاورة وما ان تنتهي مؤامرة تكون دستة مؤامرات جاهزة ضدناطبعا اذنابهم بينا تعتبرهم هو الاستثمار الحقيقي على المدى البعيد غير الاعتراف شبه الحقيقي بخلق داعش ومساعدة الاخونج عليهم العنة جميعا,1,0,0,0,0,1,0,0,0
136,يا اله بختنق  وجه مشمئز ,0,0,0,0,0,0,0,0,1
137,مستخدم خلاص اشغلتنا  وجه مشمئز ,0,0,0,0,0,0,0,0,1
138,مستخدم سحبتوا مني لكن ما جاء شي ع الايميل  وجه يشتاط غضبا  اصطدام ,0,0,0,0,0,0,0,0,1
139,مستخدم يستار  قبضه موجهه للامام   قبضه موجهه للامام ,0,0,0,0,0,0,0,0,1
140,مستخدم ايفانكا كلنا ندري طقطقه ولاهي داريه عن هوى دارهم بس الي م يستحون هذا سعودي احرجوه واحرجوا اهله منجد ان لم تستح فأفعل ماتشاء تربيه ابهام متجه لاسفل 🏽,1,0,0,0,0,0,0,0,1
141,مستخدم واله مافيه مسعورين زي العيال 🤮,1,0,0,0,0,0,0,0,1
142,مستخدم انتي ماقلتي شي بهالمناسبه  قبضه موجهه للامام ,0,0,0,0,0,0,0,0,1
143,مستخدم تاريخهم اسود من يومهم اله يجعلهم من كذا واردى ابهام متجه لاسفل ,1,0,0,0,0,0,0,0,1
144,زعلت زيادة لأني ماشفت وجهك كثير ابهام متجه لاسفل 🏻,0,0,0,0,0,0,0,0,1
145,لا مش وكده وبس لما روحت الجامعه اكتشفت ان انا محضر جدول التلات مش الاتنين وعليا النهارده رسم  وجه مكبوت ينفث البخار من انفه ,0,0,0,0,0,0,0,0,1
146,تميم قايدنا وحمد عدونا الحمداله اني مو قطريه  وجه مرهق  وجه بقناع طبي ,1,0,0,1,0,0,0,0,0
147,RT مستخدم طيب لاتصيح يا اخوي ترى الدعوة كرة قدم  وجه بدموع الفرح  وجه الضفدع ,0,0,0,0,0,0,0,0,1
148,مستخدم وينه دا وينه جبولي هوا اتفاهم معاه  وجه يشتاط غضبا ,0,0,0,0,0,0,0,0,1
149,مستخدم ياو فديت الخشه  وجه ضاحك بعيون مبتسمه  قبضه موجهه للامام 🏻,0,0,0,0,0,0,0,0,1
150,مستخدم فعلا كلشي بسبها بس يالي قهرني هي بتكلم و الكاميرا عليها طول الربورتاج بس بارش لا كانو هي النجمة لامعة و بارش الحارس  حارس  الشخصي ليش هذا الانحياز في الصحافة ليش نسيو نجومية بارش و شعبيتو في تركيا راحت الهيبة بتاع بارش  وجه حزين لكن مرتاح صحافة تافهة صراحة  وجه غير راضي   ابهام متجه لاسفل ,1,0,0,0,0,0,0,0,1
151,مستخدم  قبضه موجهه للامام  وجه بدموع الفرح يارب بس متاخدكيش الجلاله تانى وتقاوحينى لما اقولك هتكسلى بعد كده وجه بدموع الفرح  قلب مجروح ,0,0,0,0,0,0,0,0,1
152,مستخدم انتي بتفضحي البت هنا عشان مش هتشوفها قبضه موجهه للامام  وجه بدموع الفرح ,0,0,0,0,0,0,0,0,1
153,مستخدم لقطة جولاق ما حمستني قهرتني وجه يبكي بصوت عالي  قلب مجروح الصور  كومة من البراز ,0,0,0,0,0,0,0,0,1
154,شعب اله المتحشر🤮,1,0,0,0,0,0,0,0,1
155,صباح الخير  كومة من البراز ,1,0,0,0,0,0,0,0,1
156,RT مستخدم بينما انا قاعدة بالبنك ناطرة دوري  وجه مبتسم بعيون مبتسمه  سمعت موظفة عم تلقي محاضرة طبية لزبون سعل عدة مرات قدامها  وجه بقناع طبي و بلشت تحكيلو عن فوائد الدوش…,0,0,0,0,0,0,0,0,1
157,RT مستخدم عشت فى البلد سنين طوال وشفت فيها استفتاءات وانتخابات عجيبه وغريبه بس عمرة ما شفت فى سخافه الى بيحصل الان  وجه يشتاط غضبا ,0,0,0,0,0,0,0,0,1
158,مستخدم  وجه مكبوت ينفث البخار من انفه والي تقصر عباته شبرين وتطلع بعد طويلة,0,0,0,0,0,0,0,0,1
159,أوكي مو كل عطر رجالي يناسب بنت  وجه بقناع طبي  قلب مجروح ,0,0,0,0,0,0,0,0,1
160,مستخدم نصاب لاحاد يشتري تفو عليك يالجزمه  الاصبع الوسطي ,1,0,0,0,0,0,0,0,1
161,اوفر عاد  وجه يشتاط غضبا  بعض الحريم مادري بهم شفاحه ولا قلة ادب عيب واله,1,0,0,0,0,0,0,1,0
162,مستخدم شوفي بوعصا شن كاتب وجه بقناع طبي ,0,0,0,0,0,0,0,0,1
163,تبقى معدية ماتسلمش عليا عينها فعنيا ينفع كدا يرضيكوا كذا لاء لاء لا لاء  ابهام متجه لاسفل 🏻 ابهام متجه لاسفل 🏻 ابهام متجه لاسفل 🏻 ابهام متجه لاسفل 🏻 ابهام متجه لاسفل 🏻 ابهام متجه لاسفل 🏻 ابهام متجه لاسفل 🏻 ابهام متجه لاسفل 🏻 ابهام متجه لاسفل 🏻,0,0,0,0,0,0,0,0,1
