tweet,offensive
بايع الكليجانهبلو العالمتراه عاديمايحتاج ضجه ونشر وازعاج وهاشتاقالي عجبها تروح تقوله عاجبني وانتهينا بلاش نشر وخرابيط مو لازم كلنا نعرف وش عجبكلا وكمان في عالم مع الخيله مصيبه ماحد صار يفكر  قبضه موجهه للامام 🏼 وجه غاضب بقرون  طفشتونا كل شوي هاشاتاق مبزره,1
بايع الكليجا ياخفيفات مسوين تجمهر عليه ونقاباتهم  وجه بقناع طبي ,1
مستخدم اله لايرده لاهو ولا ولده السمسار  قبضه موجهه للامام 🏼 قبضه موجهه للامام 🏼,1
فوق انه إتكالي وكسول ومعتوه لهجتة قصيمية 🤮,1
بايع الكليجا الحمدله والشكر افتكينا من خرفان ايفانكا جونا خرفان بايع الكليجا وجه بقناع طبي ,1
مستخدم استغفر اله الهم اني صائم وما اقدر احكي  وجه بقناع طبي  شخص يخبط وجهه ‍ رمز المؤنث ️ شخص يخبط وجهه ‍ رمز المؤنث ️ شخص يخبط وجهه ‍ رمز المؤنث ️ شخص يخبط وجهه ‍ رمز المؤنث ️ شخص يخبط وجهه ‍ رمز المؤنث ️ شخص يخبط وجهه ‍ رمز المؤنث ️,0
واله ولا كأنها بحرانيه وجه منصدم  قلب احمر ️,0
مستخدم من غير سنون  وجه بدموع الفرح  قبضه موجهه للامام ,0
مستخدم ما قدرت اكمله من الخياس  وجه بقناع طبي ,0
مستخدم استغفر اله انا قليلة الادب  سكين المطبخ  وجه بتشميقه  وجه بدموع الفرح ,1
مستخدم لا تعم جميع البنات ي تنكه وجه مبتسم باستهزاء  قبضه موجهه للامام 🏻,1
ابي سالب من شمال او شرق او جنوب او غرب الرياض  قبضه موجهه للامام 🏻 وجه قط عابس  سالب الرياض مبادل الرياض بوث الرياض موجب الرياض فحل الرياض خنيث الرياض مشعر الرياض رجولي الرياض نحيف الرياض كاش الرياض,1
الجو هواء فى تراب صعب اوى  وجه بقناع طبي ,0
مستخدم  وجه مكبوت ينفث البخار من انفه مسكين ب يموت لوفكر بس مجرد تفكير,0
الشاكوش اذا سأل عن البنت تسميه نشبه والمز اذا سأل عنها تسميه مهتم فيها وجه قمر جديد  سكين المطبخ  حب الانتر نت صدق او كذب,1
يع من الناس الي تنتقد وتلمع نفسها يعني انا استحيت من ورا الشاشه خلاص درينا انهم اوفرو بالموضوع لكن لا تسوي نفسك اوه مستحيه وقلوب مكسوره  وجه بقناع طبي ,1
حياؤك فاحفظه عليك فإنمايدل على فضل الكريم حياؤهإذا قل ماء الوجه قل حياؤهولا خير في وجه إذا قل ماؤه اذا انتقدأحدهم تصرفات الفتيات غير المحتشمة مع بايع الكليجا قالوا مستشرف وجه مفكر يريدونا مجتمعا بلا حياء ولا أخلاق تحت مسمى يا تسكت  قرد بحركه اليد لقول لا اتكلم او نهاجمك وجه يشتاط غضبا ,1
مستخدم ماعلقوا الدراسة الا يوم كان الجو يهبل امطار وغيم ويوم الغبار ماعلقوها وش هالجامعة تجلط  سكين المطبخ ,0
معلقه مع زوجها ف بيت هاجرها ويقول خذي الاطفال واطلقك واهلها رافضين تجيب اطفالها لان الاب احق فيهم من ينصف وهذي العينات كثير بمجتمعنا معلقه بدون اي حقوق وعبارة اصبري علشان الاطفال ولاتعالي لوحدك ابهام متجه لاسفل 🏻 مهجوره اربع سنه اريد فك قيودي,1
مستخدم احساسج بالتحرير بره الكويت وجه بدموع الفرح  قبضه موجهه للامام 🏼,0
RT مستخدم رغم كرهي لفكرة السلطه على اخلاق الناس لكن الوضع عندنا فعلا فعلا يحتاج هيئة تظبط المراهقات والعجز الم  وجه يشتاط غضبا  عيب ا…,1
الهندي قاعد يثبت لمعزب إن الخروف  نعجه صار صديقه حتى ما يذبحه  وجه بدموع الفرح  بابا خلي خاروف مسكين,1
مستخدم خليك في بلدك الاصلي يا مشرد بكره مالك مكان انت وامثالك في قطر وبترجع لزبالة الي طلعت منها حذاء رجل ,1
مستخدم طهري نفسك ولاتنجسيها بالحوار مع الطحالب  وجه الضفدع  يتغذون على قذاره المستنقعات وش توقعي يخرج منهم غير القرف  وجه بدموع الفرح ,1
مستخدم كويس انك معترف مب مثل البعض يسب وينصح وهو باع نعجه ,1
اله لا يفشلنا  شخص يخبط وجهه 🏼‍ رمز المؤنث ️ سكين المطبخ  بايع الكليجا,0
اذا مابيسوي حادث يبغا يتضارب مع الخلق مع هالصبح لعنك اله من سواق درينا انك فله من وين طلعلنا هاذا  وجه غير راضي  سكين المطبخ  وجه بدموع الفرح  وجه يبكي بصوت عالي ,1
صوتها قرفني وربي  وجه بقناع طبي ,1
مستخدم  قبضه موجهه للامام اله يسمحك انا  وجه مبتسم متعرق ,0
مستخدم اقسم باله شعب منفسن نفسنة وجه منصدم ,1
مستخدم وضعك مزري 🤮,1
مستخدم لعين وذليل بمؤتمر الرياض يتلزق يع وجه بقناع طبي ,1
كوكو قلب ️سوال لعشاق السنما التركيه وين ع النت بتشوفون المسلسل التركي ارطغرلو ما كتبت الاسم صح لا ياخذني عشاق التاريخ  قرد بحركه اليد لقول لا اسمع  جاوبوا بسرعه رجاء  ايدي متقابله ,0
مستخدم ناطرج وجه مكبوت ينفث البخار من انفه ,0
وصحيت على الم فضيع  وجه مرهق  وجه منصدم  قلب مجروح ,0
مستخدم ابو القرف يا شيخة عالم منتهية  شخص يخبط وجهه 🏻‍ رمز المؤنث ️ وجه بقناع طبي ,1
مستخدم اندري  وجه بدموع الفرح  سكين المطبخ  قلب مجروح ,0
مستخدم أوف عنجد تعصبت لك شو بدنا بجوبسي و كرشها و وزنها شكلها كأنها طالعة من الحبس لا منظر و لا شكل  وجه بقناع طبي  شو عجبه فيها ما بعرف,1
لما ابغاها تنخمد ولما انخمد انا تكون صاحيه هف  سكين المطبخ  مستخدم,1
مستخدم وش دخل امك بالسالفه  وجه الضفدع ترا مو كل الناس مثل اهلك ما يمشوا بدون هيئه وجه الضفدع ,1
إكسش كول بوده حتى از من كول تر وجه مكبوت ينفث البخار من انفه ,0
مستخدم اوف مشكله عناد  وجه غير راضي  وجه بدموع الفرح  قبضه موجهه للامام 🏼,0
مستخدم ايه يقلون تطول العمر  وجه بدموع الفرح  قبضه موجهه للامام 🏻,0
شكرا ي دنيا على كذا صديقات وجه غاضب  قلب احمر ️ قلب احمر ️ قلب احمر ️ قلب احمر ️ قلب احمر ️ قلب احمر ️ قلب احمر ️ قلب احمر ️ قلب احمر ️ قلب احمر ️,0
RT مستخدم الهندي قاعد يثبت لمعزب إن الخروف  نعجه صار صديقه حتى ما يذبحه  وجه بدموع الفرح  مافي يذبح,1
شنو معنى تكالب مو كأنها يايه من كلب  كلب  وجه ضاحك مغمض العينين RT مستخدم جهاز قضايا الدولة عدم نشر قرار رفع البنزين لمنع تكالب المواطنين على المحطات,1
مستخدم زيادة السعر ع ايش بالضبط  وجه مكبوت ينفث البخار من انفه لا جديد فيه غير تصوير البطيء خلوه فل اتش ديخيبتنا  وجه يبكي بصوت عالي  حماره سوني,1
مستخدم ادارة فاشلة  وجه يشتاط غضبا ,1
مستخدم يقول لعبوني  وجه يشتاط غضبا  وجه بدموع الفرح ,0
مستخدم بيوعين  وجه مشمئز ,0
داليا مباركمتقمصه دور الامريكيه  وجه بقناع طبي ,1
مستخدم ياكرهك ونت تدافع عنهم  وجه بقناع طبي ,1
بايع الكليجا مو حيلو  وجه محايد  وجه بقناع طبي ,0
مستخدم م ط  وجه بقناع طبي  وطحلبي ماتنرقع  وجه يعطس ,1
مستخدم شكله زي  كومة من البراز ,1
RT مستخدم يلا خذ ياشين السرج عالبقره  ثور ,1
RT مستخدم الناس ال مش بتجيب الباك دى ناس قليلة الذوق قدن يعنى وجه بدموع الفرح  وجه يشتاط غضبا ,1
مستخدم واله من تفاهتهم 🤮 ابهام متجه لاسفل 🏼,1
هف يالطفش والعطاله  ابهام متجه لاسفل  وجه منصدم  بايع الكليجا,1
مستخدم وش ذا ليكون قصدكم حلو  وجه محايد  سكين المطبخ ,0
بنات ترى مو شرط كل يوم تروحون لركن القصيمي وتصورون المز واله فشلتونا قسم باله شفت مقاطع تطيح الوجة تعطونهم عنا فكره سيئة وجه يشتاط غضبا ,1
مستخدم طماع وجه بدموع الفرح  قبضه موجهه للامام 🏻,0
مستخدم انتبه ينطق فيك عرق بس  وجه مبتسم باستهزاء  قبضه موجهه للامام 🏻 قبضه موجهه للامام 🏻,1
لاتوصل ولاتسال كلن على همه سرا كومة من البراز ,0
مير مراهقات تنبلع ماعليهن شره  وجه بقناع طبي  بلاك من الموت هالعجز الي تقول بخمه غصب زوجي القبيح والثانية تقول بحكل عيني عن الأشهب الي عندي انا بحلم ولا بعلم وجه يسيل لعابه  نذر باله العظيم اتحدى اذا صدق حريم ترا ياناس عدوان رجال وراء يوزرات أو خلايا بشري مدري عزمي يشوهون صورتنا بايع الكليجا,1
مستخدم شفيك لحين تناهق يا حمار كل هذا لاجل ريال صدق الحاله صعبه ما تنلام داليا عطيه ريال خليه يسكت متعود ع الطراره 🤮,1
مستخدم اختارت احلام  وجه مكبوت ينفث البخار من انفه ,0
نتيجة اي الى كمان يومين وجه مندهش  وجه غير راضي  ملحقناش ناخد نفسنا وجه الضفدع ,0
بعض البنات صدق عار وعوار ترفع الضغط مستغله النقاب وتلاحق الشباب وتحجر لهم حتى في الاصنصيرات ويجونك بعدين ان الي تكشف هي الي فتنه وتبي تلفت خير واله ان بعض المنقبات والي عباية راس انها اخبث من الخبث تلقاها في العزايم في المولات مستشفيات مستغله كل الفرص  وجه يشتاط غضبا  بايع الكليجا,1
ابغا ارضع نه  وجه منصدم  رضاعه طفل رعشة فحل  علامه ممنوع تحت سن الثامن   نار  علامه ممنوع تحت سن الثامن  ,1
مستخدم مرده السحل في شوارع الدوحة وعلى يد ابنائها الشرفاء الذين لم يرتضوا العار والانبطاح لمجوس والترك الغزاة  وجه مشع بعيون مبتسمه  حذاء رجل ,1
بايع الكليجا هو قلة حيا ولا انحطاط ولا مشفح ماشافوا خير ولا ق بالفطره الرجال استحى وانتم لا فشلتونا اله يفشلكم  وجه بقناع طبي ,1
اصعب شي في الحياه تكونين عقلانيه مع ناس مايعرفون القران وهم اكثر ناس يتكلمون فيه ماتدرين تردين عليهم وتلجمينهم وتناقشينهم وتعبين نفسك ولا تضربينهم وترتاحين  قلب مجروح  قبضه موجهه للامام 🏻,0
مستخدم  وجه مكبوت ينفث البخار من انفه  شخص يجري 🏻ليش راعي معاصي هاه,0
تعاملت مع تاجرة ف الانستا من تاريخ لين اليوم المحادثة مستمرة وبعدني م قلت وش الي اريده كل يوم ترد ع مسج وتختفي  وجه غاضب  وجه مكبوت ينفث البخار من انفه سخافة وغباء,1
مستخدم استغفر اله كمية انحطاط في الهاشتاق  وجه بقناع طبي ,0
مستخدم صح  بريق  قبضه موجهه للامام 🏻,0
مستخدم تشوف كيف سنة وعليها واله لو انهم يمنتجون عالم كامل بس إن شاءله يكون يستاهل لان هالموسم بيغيرون ستايلهم  وجه منصدم ,0
مستخدم سيبه ي بشمهندس براحته ده عامل زى صاحبه بالظبط بيزعلوا بسرعه وانت عارف  وجه بدموع الفرح  وجه بتشميقه  قبضه موجهه للامام ,0
RT مستخدم طفشانه و مشتهيه و ابي ناس تفتح النفس و تعرف تسولف  شخص يخبط وجهه 🏻‍ رمز المؤنث ️ بليز الهمج و الحوج لا يكلمون  الاصبع الوسطي 🏼 قبضه موجهه للامام 🏻,1
RT مستخدم المصري يحتاجمصر مخطوفة وبتحكمها عصابة قذرة  وجه غاضب ,1
درس الفيزياء وحشني جدا  وجه بدموع الفرح  قبضه موجهه للامام  قلب اخضر ,0
الطشك قلمين عشان ترجعى زى ما كنتى ولا اعمل فيكي ايه فى اليلة السودة دى  قبضه موجهه للامام ,1
انا بحكي لحد حاجه بعد ثواني ثواني حضرتك بندم اني حكيت وبضرب نفسي بالجزمه  وجه منصدم  حذاء بكعب عال ,1
شخص عادي ويترزق اله اعقلن فشلتنا وجع قبضه موجهه للامام 🏻 بايع الكليجا,1
مستخدم كريستيانو اكيد ولا مكان لمتخاذلين  ابهام متجه لاسفل ,1
مستخدم اغلب الناس مكن يستغربون ليش اله م ذكر نعيم لمراءه في الجنه برجل في القران هذا لان اله عزوجل يبي يربينا ان المراءه يجب ان يكون حياءها موجود مهما كان فما بالك الحين بدل م م نكون نستحي من الرجال صرنا احنا الي نتحرش فيهم مستحيل بنت فيها ذره حياء تقبل الموضوع هذا  ابهام متجه لاسفل 🏻,0
RT مستخدم ابو نوران فطع  قبضه موجهه للامام 🏾 وجه بدموع الفرح ,0
مستخدم مداني اتمرخ فيهن اله يهديهم زيت ماي الخ اخرتها تفلة واحد مادري عنه الواحد يقرا ع نفسه وبس الحريم مطيرات هالاشكال  وجه مكبوت ينفث البخار من انفه ,1
مستخدم هو انا شتمتك وجه بدموع الفرح  قبضه موجهه للامام ,0
مستخدم انا توقعته يبيع عليهم  وجه بقناع طبي ,0
صباحو عنب نازله احجز دروس ثانوية عامة  شخص يخبط وجهه  وجه الضفدع ,0
مستخدم لبن وجه مشمئز ,0
سترومن يلعن ابوك  وجه غاضب  المنيشن تشيمبر,1
RT مستخدم الجزمة غداي المفضل وجه الكلب  نار كلبكم رجع هوهوهوهو تعالوا ذلوني خاص رخيص مبادل محون محونه مشتهي عم عمه كلب كلبه سالب جاد ع…,1
بايع الكليجالسه المستشرفين بتاق نباح من اليل حتىالنهار  وجه الكلب  وجه بدموع الفرح ه,1
مستخدم قانون دولي  وجه بقناع طبي ,0
مستخدم هذا الي فالح فيه بس لاعب منفوخ  حذاء رجل ,1
مستخدم ي حبي مو كلشي يجي بالفلوس  وجه يشتاط غضبا  وجه بلا فم ,0
فرند اسكي ودك تطلع معاه  وجه بدموع الفرح  قلب ازرق  قبضه موجهه للامام  — محد,0
مستخدم ه مب صاحي وتعرف بعد وش تلبس عليك تدقيق حركه اليد لقول حسنا 🏻 وجه بدموع الفرح  قبضه موجهه للامام 🏻,0
مستخدم خفي علينا يا نظيفة ي ام ركبة سوداء هش هش  وجه بقناع طبي ,1
مستخدم  وجه مستاء ️ وجه مكبوت ينفث البخار من انفه هين ي ام شعفه,1
بايع الكليجالحياء نعمه ماعاد فيه حياء اعوذ باله وش ذى خير اذا ماستحيتو من ربكم استحو من الناس راح الحياء والخجل يلعن الخفه بس  سكين المطبخ ,1
وزير النقل اليمني يفضح دور الإمارات في الإضرار باليمن وأهله عن طريق منع مشاريع التنمية ودعم الجماعات والميليشيات الإرهابية فضحنا اله لا يعافيه  وجه يشتاط غضبا ,1
مستخدم يع عبد المال  وجه بقناع طبي ,1
مستخدم يشيخ احلف طيب موانت  قبضه موجهه للامام 🏻 وجه مغمض عينيه مخرجا لسانه ,0
RT مستخدم وين الغيره  وجه يشتاط غضبا وين الأخلاق  قرد بحركه اليد لقول لا اري وين القيم  وجه يبكي وين المسبح  وجه يغمز مخرجا لسانه دلوني  وجه عابس بفم مفتوح  وجه يصرخ من الخوف  وجه بدموع الفرح  وجه يغمز  وجه ضاحك بعيون مبتسمه  وجه مبتسم بعيون واسعه  وجه بدموع الفرح  وجه يغمز  وجه ضاحك بعيون مبتسمه ,0
مستخدم مرحبا بك انتي وحفصة انهار كبير واله  وجه متلذذ  قبضه موجهه للامام ,0
لا مع الأسف علموها عرب الخلبج على الحلب فصارت مدمنة الآن وتبحث ليس عن افراد فقط بل وفود  وجه بدموع الفرح  يتدحرج على الارض من الضحك  وجه بدموع الفرح  ابهام متجه لاسفل ,1
RT مستخدم ابو صالح متزوج الثانيه بالسر وجه حزين لكن مرتاح كلما اتصلت عليهالثانيهام صالح تشيل الجوال وتحطهبالشحن وجه مبتسم بهاله علي الراس ليش مسمي الثانيهالبطاريه منخفضة وجه مكبوت ينفث البخار من انفه حسبي…,0
بايع الكليجاأول الداشر منبوذ من الجميع الآن المؤدب أصبح عمله نادره وجه منصدم ,1
في اغنيه يمنيه معلقة براسي المشكله مو هنا المشكله في ان الي يغنيها مخزن قات بفمه كبر راسه وقادر يغني بحب و طبقات واتقان كيف يقدر يغني بدون مايشرق  قرد ,1
مستخدم حفترهم وجه غير راضي  يد مرفوعه  داعش طيبه شكلها وجه الضفدع ,0
مين مفهم الناس انو لازم نلبس احلى حاجة ع الجامعة  وجه الضفدع ع فكرة بتقدر تيجي ع الجامعة شبشب,0
مستخدم صادقه يرجعونك بدون الاعضاء واربع عيون  وجه بدموع الفرح  وجه منصدم  شخص يجري ,0
عبدالاله  وجه مكبوت ينفث البخار من انفه  وجه بلا تعبير  حياتك,0
شو قصة تغطية اورنج مفسحله  وجه الضفدع ,0
طب ياجماعة الين متى يعني حتقعد رسايل الحج والعمرة تجينا كل يوم مرة  وجه مكبوت ينفث البخار من انفه ,0
مستخدم لا والمشكلة تصبحين عليه  وجه بقناع طبي ,0
🤮 طس عنيماشيه احواليمنهو انا بدنيتسوش قطعته موجود انا لك الجنة يابعديحبتك العافيه,0
RT مستخدم اشباه الرجال واحد دلوع ابوه يشتغل في مسلخ سألوه وش يشتغل ابوك قال يقشر الغنم🤭 قلب مجروح  ابو لهب تعال فيه احد ناسيه وجه بقناع طبي  قلب مجروح ,1
بايع الكليجا أبغى افهم شي واحد يعني وش وش اخر حبة خلاص بتموتون ارفعوا علومكم اله يأخذكم تافهات عيب عيب  وجه يشتاط غضبا  قبضه موجهه للامام 🏻,1
RT مستخدم الناس يفضفضون ويرتاحون وأنا افضفض ويهدوني بالسالفه يعني فوق الغبنه ابتزاز  وجه قمر جديد  سكين المطبخ ,0
RT مستخدم  دائره حمراء  وجه خنزير الحزبي يقول لك كيف تدعمون الدول ألعربيه التي يحكمها العسكر البسطار العسكري فقط وليس العسكري نفسه اشرف من…,1
مستخدم وراتس وجه بدموع الفرح  قبضه موجهه للامام 🏻,0
عساك قبلي ان شاء اله  وجه يشتاط غضبا  صلاه الجنازه القادمه انت,1
توني اتذكر اني يوم ضيعت بطاقتي الجامعيه صارت معها بطاقتي الاحوال صفقوني باله لين اعض الارض  وجه الضفدع  قلب مجروح ,0
RT مستخدم لو انت بتحب ال جأد جرلث ف انا بعرف اطبخ ولو بتحب ال بد جرلث ف انا بحرقه  وجه بدموع الفرح  قبضه موجهه للامام ,0
مارح اخلي الدونات والكوكيز بنفسي واله وجه مكبوت ينفث البخار من انفه ,0
بايع الكليجا نظراته بكل الصور والمقاطع نظرات واحد قرفان من الوضع اله يعينه وجه بقناع طبي ,0
اخترعو كل شي الا جهاز يطرد الدكتوره لما تخلص المحاضره وجه مقلوب  قبضه موجهه للامام 🏼,0
مستخدم واله هاد الجو خرج نوم  وجه منصدم  عندي عم تشتي أطلع الطلاب عالساحة واعطيهم درس عن المطر يعني  وجه مفكر ,0
أما شو زهرة شباب عم نعيشهاتقولوا مسقية من مياه المجاري  وجه بدموع الفرح  وجه الضفدع ,0
مستخدم مساكين الفقراويه هذي متى المباراة شكل الي سلمهم الكاس ابوجعفر المنصور قبل قرن  وجه بدموع الفرح عايشين على الماضي صدق فريق فقر وجه بقناع طبي ,1
مستخدم بو غانم الي اشوفه مهب تحيل هذا رقص الشباب من ربع وزير خارجية البحرين  وجه بقناع طبي ,0
مستخدم المفروض المتقاعدين يصرفون لهم حبوب منوم  وجه منصدم  ما ينامون,0
RT مستخدم بعض البشر مو ثوبك  وجه مكبوت ينفث البخار من انفه ,0
RT مستخدم الهلال قرود اسيايقول الشاعر في  قرد وصح لسانه وقصيده جزله في قرود اسيا ان القرد قرد من ايام سيدني  قرد  وجه بدموع الفرح ,0
مستخدم يارجال انت لو خايف على مصلحة الاتحاد مافتحت الموضوع الى مابعد بطوله الملك لاسف كنت احترمك كاعلامي اتحادي  ابهام متجه لاسفل 🏿,0
مستخدم اي واله انا تنرفزت من ذي الاشكال يعني جد قلت ادب الولد جاي يطلب رزقه قمتو وشهرتوة وربي صرت اشوف العيال يستحون اكثر من ذي الاشكال وجه مكبوت ينفث البخار من انفه ,1
مستخدم هذا شكله طحلبي متنكر  وجه الضفدع ,1
ولف ولد شاة  نعجه  المعروف عن ولد الشاة الذي فقد امه أنه يتبع من يرضعه هكذا بعض الناس بمجرد أن يفقد الرضعه المصلحه لايتبعك,1
مستخدم انا احيانا اشك انهم يتابعوني مع اني ماسكتهم واحد واحد الي بيضيقخلقي يتابعني  وجه مبتسم متعرق  الحساب الي قبل تابعوني و جنوني المرا ذي اخذت عليهم … قسم  وجه مكبوت ينفث البخار من انفه ,0
مستخدم آساطير قلب ازرق  سكين المطبخ ,0
مستخدم قلبي وجه يشتاط غضبا  قلوب دواره ,0
مستخدم حقيره  قبضه موجهه للامام 🏻 وجه بدموع الفرح ,1
مستخدم الغبيه سكين المطبخ  وجه بدموع الفرح ,1
RT مستخدم  زر عكسي  هنا اسهم عاموديه ملتفه في اتجاه عقارب الساعه  سكس كويتى لوح تصوير الافلام  وجه القرد  تخطي الحجب هنا,1
مستخدم شعشع ه وجه بدموع الفرح  وجه مبتسم بعيون قلب تستاهلي امسي عليك احسن منك ماتصبحي ولاتجي خ ص وجه متلذذ  قرد بحركه اليد لقول لا اتكلم  قبضه موجهه للامام  وجه مخرج لسانه  قبضه موجهه للامام  وجه مقلوب  وجه بدموع الفرح ,0
مستخدم اكثر واحد صدمني  وجه منصدم  وجه بدموع الفرح  قلب مجروح  حتى سؤاله الي حاطه زي الزفت  وجه مرتبك ,1
RT مستخدم أنا ضد طلال مداح لما قالأحبك لو تحب غيريأنا هنا أدفنكم مع بعض واله  شخص يمشي  علامه مكبر الصوت بصوت مكتوم   وجه قمر جديد  وجه غاضب  حركه اليد لقول حسنا  سكين المطبخ 🏻,0
RT مستخدم من هواياتي اذا استظرفت ودخلت دايركت اكبجر واحطه بالتايم  وجه بابتسامه خفيفه  قلب مجروح  سكين المطبخ ,0
مستخدم وينه دا وينه جبولي هوا اتفاهم معاه  وجه يشتاط غضبا ,0
بايع الكليجا واله أني أشك في الموضوع من اخترعه وكبره ونشره وسوى له تاق واعلن عنه في قنوات الفساد شي غير موجود فقط كم وحدة من قليلات الحياء خليتوهن وكأنهن يمثلن البنات السعوديات كلهن لابارك اله فيكم يا من تحبون نشر المنكر وتزينونه لناس وتشوهون سمعة بلدنا  وجه يشتاط غضبا ,1
مشكلة واله لما تروحين عند دكتورتك ومعك صديقتك وتخليها هي شاهده عليك  شخص يومي بيديه بعلامه علي ما يرام 🏻 وتقلب صديقتك تهديد خلاص يعني شاهده هذي يبيلها كذا سكين المطبخ ,0
مستخدم يع ما ينخق على نوعيته واله  وجه بقناع طبي ,1
مستخدم يا  وجه الضفدع ,1
اسلوب دس السم في العسل بات فاشله هذا الكويتب في جريدة الوطن اعتقد يبحث عن القليل من الشهره بطريقه مختلفه عموما لاحد يعطيه وجه وجه بقناع طبي  و ركبوا له مكبر صوت عند غرفة نومه مثله مثل السحيمي المختل لعل الشيطان الي برأسه ينفر وجه ضاحك ,1
بكره كدا جدا  وجه يشتاط غضبا ,0
مستخدم اكيد يعنى  وجه بدموع الفرح   يد مرفوعه بس الظاهر من قرك عليه هيموت النهاردة  قبضه موجهه للامام   وجه بدموع الفرح   وجه بدموع الفرح ,0
RT مستخدم  وجه يشتاط غضبا  السفاح بوتين وسادة الظلام  وجه يشتاط غضبا ,1
انا ودي اعرف سواقي وش مستعجل عليه كل ظهريه واله ياهو رجني رج  وجه يبكي بصوت عالي  وجه مكبوت ينفث البخار من انفه ,0
مستخدم الحمدله اكيد تغارين من الغة عندي احم احم اتحداك بعد وت از يور نيم جاوبي بالانجليزي مثلي ياله  وجه يشتاط غضبا ,0
مستخدم لعنتي من رباهم اذا هم اموات او كبار في السن يجهلون تصرفات بناتهم وش ذنبهم ي المتفشله هم قليلات حياء وانتي لعنتي ناس مالهم ذنب بالي صاير لاحول ولاقوه صدق مجتمع جاهل بتصرفاته  وجه مشمئز ,1
مستخدم لو يكون لباصات النقل الجماعي خط خاص فيهم شوارع زي لندن والي يمشي عليه غير الباصات له مخالفه  قبضه موجهه للامام ,0
مستخدم قرود قرد ,1
RT مستخدم افضح معنفك  علامه ممنوع تحت سن الثامن   لا يوجد اشد من هالفضيحه بشار  سكين المطبخ الهم ارحم شهداء الوطن الأبرار الكعبه  دعواتكم لعل اله القوي الجبار الم…,1
مستخدم الي قاهرني يقول انا هلالي  وجه يشتاط غضبا ,0
مستخدم صادقه حرام عليكم تشكون في قدراته  وجه مكبوت ينفث البخار من انفه  قلب مجروح ,0
مستخدم وش عرفك ياوجه العنز انت قبضه موجهه للامام 🏼 قبضه موجهه للامام 🏼 شخص يجري 🏽‍ رمز المؤنث ️,1
مستخدم ولعنه تلعنك يوم تكلم عن السعودية والسعودين وتسوي فتنه انفلو  قطرات عرق  وجه يشتاط غضبا  قبضه موجهه للامام 🏼,1
يله يابنات انضموا لقطيع الخرفان  ماعز  نعجه  حمل  بايع الكليجا,1
مستخدم سرقوا الكورة من كيسكم يا طحالب وجه الضفدع ,1
مستخدم نيتي صافيه  وجه يبكي  سكين المطبخ  نحله ,0
مستخدم السوق الرسمية مافيه تذاكر منين تجبون تذاكر  وجه يشتاط غضبا ,0
RT مستخدم بايع الكليجاليته يبيع برسيم  وجه بدموع الفرح  قبضه موجهه للامام ,1
من غير انهم خلوه يمشي ع الثلج بدون شوز والنومه الي برا بالثلج يع كان دائما يتعب ويجيه برد بسبهم  شخص منحني 🏻‍♂️ سكين المطبخ ,0
مستخدم اخ حنظله اقعد عليه  الاصبع الوسطي 🏻 وسمعني صياحك,1
